# nmesh EoS output for T=0 and Y=0
# EoS_type = PwPhot
# nrows = 1024   <-- Number of rows
#
# 3 data columns in dimensionless units where G=c=1:
#   col1:  rho0 = baryonic mass density
#   col2:  epsl = kinetic energy per baryonic mass
#   col3:  P    = pressure
#
2.055185325854906e-10  8.743125050547640e-05  6.413474480391533e-15
2.106704769835429e-10  8.820731082792577e-05  6.632602207136916e-15
2.159515704697426e-10  8.899025964415053e-05  6.859216821181162e-15
2.213650505570899e-10  8.978015809812945e-05  7.093574125303093e-15
2.269142359166523e-10  9.057706787629627e-05  7.335938662236997e-15
2.326025284120400e-10  9.138105121286877e-05  7.586584013288806e-15
2.384334151848760e-10  9.219217089428966e-05  7.845793107154821e-15
2.444104707925470e-10  9.301049026477770e-05  8.113858539291809e-15
2.505373593995450e-10  9.383607323032450e-05  8.391082902199082e-15
2.568178370237446e-10  9.466898426424564e-05  8.677779126985338e-15
2.632557538389789e-10  9.550928841206563e-05  8.974270836605225e-15
2.698550565353516e-10  9.635705129706906e-05  9.280892711165635e-15
2.766197907387017e-10  9.721233912451943e-05  9.597990865712488e-15
2.835541034907358e-10  9.807521868765434e-05  9.925923240926126e-15
2.906622457913148e-10  9.894575737257050e-05  1.026506000716465e-14
2.979485752044893e-10  9.982402316355277e-05  1.061578398231298e-14
3.054175585298442e-10  1.007100846479592e-04  1.097849106390758e-14
3.130737745408279e-10  1.016040110222161e-04  1.135359067602642e-14
3.209219167917063e-10  1.025058720971472e-04  1.174150623144676e-14
3.289667964949017e-10  1.034157383026368e-04  1.214267560959434e-14
3.372133454704405e-10  1.043336806945128e-04  1.255755165082162e-14
3.456666191693589e-10  1.052597709587655e-04  1.298660266757482e-14
3.543317997728768e-10  1.061940814177653e-04  1.343031297302495e-14
3.632141993692860e-10  1.071366850360356e-04  1.388918342776149e-14
3.723192632104520e-10  1.080876554253596e-04  1.436373200516367e-14
3.816525730499745e-10  1.090470668514421e-04  1.485449437608992e-14
3.912198505650042e-10  1.100149942385720e-04  1.536202451354295e-14
4.010269608638633e-10  1.109915131767281e-04  1.588689531799566e-14
4.110799160815690e-10  1.119766999264638e-04  1.642969926408101e-14
4.213848790655161e-10  1.129706314251244e-04  1.699104906937861e-14
4.319481671535258e-10  1.139733852935088e-04  1.757157838605017e-14
4.427762560466297e-10  1.149850398405317e-04  1.817194251610733e-14
4.538757837789090e-10  1.160056740712179e-04  1.879281915111645e-14
4.652535547868791e-10  1.170353676911429e-04  1.943490913717818e-14
4.769165440808549e-10  1.180742011135383e-04  2.009893726604241e-14
4.888719015209153e-10  1.191222554655091e-04  2.078565309325465e-14
5.011269562000264e-10  1.201796125942511e-04  2.149583178425411e-14
5.136892209370725e-10  1.212463550732679e-04  2.223027498938214e-14
5.265663968824863e-10  1.223225662090321e-04  2.298981174878476e-14
5.397663782393661e-10  1.234083300476474e-04  2.377529942823503e-14
5.532972571029086e-10  1.245037313815089e-04  2.458762468692723e-14
5.671673284211911e-10  1.256088557548551e-04  2.542770447833960e-14
5.813850950802752e-10  1.267237894717610e-04  2.629648708529117e-14
5.959592731168202e-10  1.278486196021333e-04  2.719495319036535e-14
6.108987970613304e-10  1.289834339892604e-04  2.812411698290421e-14
6.262128254153833e-10  1.301283212555848e-04  2.908502730382745e-14
6.419107462661235e-10  1.312833708100314e-04  3.007876882956373e-14
6.580021830415405e-10  1.324486728560004e-04  3.110646329643575e-14
6.744970004099786e-10  1.336243183964747e-04  3.216927076687577e-14
6.914053103275786e-10  1.348103992431238e-04  3.326839093890660e-14
7.087374782372734e-10  1.360070080220765e-04  3.440506450036033e-14
7.265041294232241e-10  1.372142381816932e-04  3.558057452936932e-14
7.447161555245078e-10  1.384321839998925e-04  3.679624794270464e-14
7.633847212121184e-10  1.396609405912574e-04  3.805345699360150e-14
7.825212710333444e-10  1.409006039148064e-04  3.935362082076028e-14
8.021375364277106e-10  1.421512707813211e-04  4.069820705027122e-14
8.222455429187938e-10  1.434130388608956e-04  4.208873345227162e-14
8.428576174863359e-10  1.446860066904865e-04  4.352676965420651e-14
8.639863961231634e-10  1.459702736814616e-04  4.501393891262597e-14
8.856448315815292e-10  1.472659401280385e-04  4.655191994551826e-14
9.078462013136394e-10  1.485731072143892e-04  4.814244882724749e-14
9.306041156112480e-10  1.498918770228563e-04  4.978732094823650e-14
9.539325259492959e-10  1.512223525421685e-04  5.148839304160572e-14
9.778457335386934e-10  1.525646376747680e-04  5.324758527905466e-14
1.002358398093503e-09  1.539188372454703e-04  5.506688343835282e-14
1.027485546817915e-09  1.552850570099018e-04  5.694834114488795e-14
1.053242583618508e-09  1.566634036620496e-04  5.889408218980093e-14
1.079645298547427e-09  1.580539848426987e-04  6.090630292732243e-14
1.106709877482283e-09  1.594569091487585e-04  6.298727475401897e-14
1.134452912048727e-09  1.608722861405898e-04  6.513934667274784e-14
1.162891409791758e-09  1.623002263511086e-04  6.736494794421453e-14
1.192042804601998e-09  1.637408412944463e-04  6.966659082912360e-14
1.221924967403322e-09  1.651942434746090e-04  7.204687342402012e-14
1.252556217108432e-09  1.666605463939153e-04  7.450848259402401e-14
1.283955331849060e-09  1.681398645625443e-04  7.705419700576663e-14
1.316141560487680e-09  1.696323135067512e-04  7.968689026395146e-14
1.349134634417783e-09  1.711380097784154e-04  8.240953415508067e-14
